position,x,y,z,rmse_vx,rmse_vy,rmse_vz,sample_count,mean_vx,mean_vy,mean_vz
"(69, 0, 11)",69,0,11,0.00620928,0.008598302,0.012541439,125,0.5560793,0.4133112,0.42806247
"(73, 0, 11)",73,0,11,0.006588344,0.009934173,0.014303961,125,0.557231,0.41623062,0.421471
"(77, 0, 11)",77,0,11,0.006696042,0.011121746,0.014145359,125,0.55955,0.41796958,0.41481984
"(81, 0, 11)",81,0,11,0.006436811,0.012150457,0.012259759,125,0.56283224,0.41844797,0.40992537
"(85, 0, 11)",85,0,11,0.005943566,0.012612921,0.010324385,125,0.5663855,0.41836342,0.40821862
"(89, 0, 11)",89,0,11,0.0062050307,0.012317392,0.01079938,125,0.56956303,0.41857815,0.4104585
"(93, 0, 11)",93,0,11,0.008161605,0.011420292,0.013742292,125,0.5712956,0.42029047,0.41669685
"(97, 0, 11)",97,0,11,0.010579877,0.010394915,0.016572593,125,0.57018846,0.4233446,0.42604896
"(101, 0, 11)",101,0,11,0.012806978,0.009276924,0.017693834,125,0.5653703,0.42690885,0.43706042
"(105, 0, 11)",105,0,11,0.014293611,0.007987134,0.01671729,125,0.5572236,0.43023035,0.44803193
"(109, 0, 11)",109,0,11,0.01506456,0.007202182,0.014697718,100,0.5486925,0.43208328,0.45520929
"(113, 0, 11)",113,0,11,0.015088043,0.0065975315,0.012267212,75,0.538753,0.43271038,0.46050975
"(117, 0, 11)",117,0,11,0.014683182,0.0060552475,0.009505998,50,0.5284421,0.43246,0.46330306
"(121, 0, 11)",121,0,11,0.013853494,0.0056904694,0.006611865,25,0.5190562,0.43166864,0.46354058
"(-121, -4, 11)",-121,-4,11,0.008101109,0.004858664,0.0028741674,25,0.6115029,0.4530493,0.42138836
"(-117, -4, 11)",-117,-4,11,0.007544285,0.005383343,0.0046034483,50,0.59618765,0.43934548,0.42109835
"(-113, -4, 11)",-113,-4,11,0.0067568906,0.007491269,0.006041896,75,0.57733566,0.41944164,0.42013898
"(-109, -4, 11)",-109,-4,11,0.0065638046,0.010292943,0.00683863,100,0.5564505,0.3951513,0.41884318
"(-105, -4, 11)",-105,-4,11,0.007799393,0.013949573,0.006925021,125,0.5350728,0.36959562,0.41740653
"(-101, -4, 11)",-101,-4,11,0.007534569,0.012590622,0.0069139693,125,0.5127982,0.34161744,0.41728196
"(-97, -4, 11)",-97,-4,11,0.008326184,0.009771942,0.0068477886,125,0.4953799,0.3220655,0.41781086
"(-93, -4, 11)",-93,-4,11,0.010532241,0.0071487706,0.0068562413,125,0.48500964,0.31880313,0.41896176
"(-89, -4, 11)",-89,-4,11,0.0148099335,0.00983773,0.007169836,125,0.4830475,0.33594564,0.42065626
"(-85, -4, 11)",-85,-4,11,0.01950296,0.015253798,0.0070459344,125,0.4892043,0.37426105,0.42287123
