mass_A
t	x	y
1.446666667E1	4.873936429E1	5.414423295E1
1.448333333E1	4.872770602E1	5.405671957E1
1.450000000E1	4.873584840E1	5.401619262E1
1.451666667E1	4.874067396E1	5.396797552E1
1.453333333E1	4.873106510E1	5.388593387E1
1.455000000E1	4.873563792E1	5.384926585E1
1.456666667E1	4.874283223E1	5.378487849E1
1.458333333E1	4.873374538E1	5.371386100E1
1.460000000E1	4.873920242E1	5.367706381E1
1.461666667E1	4.872828315E1	5.360342260E1
1.463333333E1	4.873456598E1	5.353940364E1
1.465000000E1	4.874124001E1	5.350090887E1
1.466666667E1	4.873298933E1	5.342056228E1
1.468333333E1	4.873813594E1	5.336991261E1
1.470000000E1	4.874395271E1	5.333154187E1
1.471666667E1	4.873405873E1	5.323800489E1
1.473333333E1	4.873916711E1	5.320119162E1
1.475000000E1	4.872985538E1	5.313235621E1
1.476666667E1	4.873524085E1	5.306220073E1
1.478333333E1	4.874386520E1	5.302905610E1
1.480000000E1	4.873148880E1	5.294270044E1
1.481666667E1	4.873736626E1	5.289436503E1
1.483333333E1	4.874241530E1	5.286083085E1
1.485000000E1	4.873329534E1	5.276027768E1
1.486666667E1	4.874069294E1	5.272549225E1
1.488333333E1	4.874325317E1	5.268100976E1
1.490000000E1	4.873449327E1	5.259227130E1
1.491666667E1	4.874261336E1	5.255850869E1
1.493333333E1	4.874755526E1	5.249479441E1
1.495000000E1	4.873725675E1	5.242812416E1
1.496666667E1	4.874144999E1	5.239408347E1
1.498333333E1	4.873200943E1	5.232116762E1
1.500000000E1	4.873716480E1	5.226091396E1
1.501666667E1	4.874104458E1	5.222895647E1
1.503333333E1	4.874882154E1	5.217500450E1
1.505000000E1	4.873615213E1	5.210335215E1
1.506666667E1	4.874146715E1	5.207485041E1
1.508333333E1	4.874971255E1	5.201931475E1
1.510000000E1	4.873735751E1	5.194722566E1
1.511666667E1	4.874256864E1	5.192175017E1
1.513333333E1	4.874548560E1	5.188130862E1
1.515000000E1	4.873551157E1	5.180409907E1
1.516666667E1	4.873886868E1	5.176863456E1
1.518333333E1	4.874478275E1	5.173803798E1
1.520000000E1	4.875008170E1	5.170254206E1
1.521666667E1	4.873691231E1	5.162848780E1
1.523333333E1	4.873943023E1	5.160297142E1
1.525000000E1	4.874513361E1	5.157364477E1
1.526666667E1	4.873389136E1	5.151698242E1
1.528333333E1	4.873684117E1	5.147502174E1
1.530000000E1	4.874188957E1	5.143772823E1
1.531666667E1	4.874428842E1	5.142610265E1
1.533333333E1	4.875045195E1	5.138552235E1
1.535000000E1	4.873642056E1	5.133469949E1
1.536666667E1	4.873951390E1	5.129593662E1
1.538333333E1	4.874101196E1	5.128063632E1
1.540000000E1	4.874355790E1	5.126430054E1
1.541666667E1	4.875064910E1	5.123650091E1
1.543333333E1	4.873443236E1	5.118698657E1
1.545000000E1	4.873721998E1	5.115195214E1
1.546666667E1	4.874060446E1	5.113009313E1
1.548333333E1	4.874165800E1	5.111986075E1
1.550000000E1	4.874477501E1	5.110613664E1
1.551666667E1	4.874662763E1	5.109245410E1
1.553333333E1	4.874900377E1	5.107648229E1
1.555000000E1	4.875046421E1	5.104652483E1
1.556666667E1	4.873618102E1	5.101668007E1
1.558333333E1	4.873646879E1	5.099355838E1
1.560000000E1	4.873849027E1	5.097942917E1
1.561666667E1	4.873982760E1	5.097224156E1
1.563333333E1	4.874041867E1	5.096477643E1
1.565000000E1	4.874078663E1	5.096134674E1
1.566666667E1	4.874331318E1	5.095267798E1
1.568333333E1	4.874257199E1	5.095167793E1
1.570000000E1	4.874402561E1	5.094886498E1
